Provincia,ADSL,CABLEMODEM,DIALUP,FIBRAOPTICA,SATELITAL,WIRELESS,TELEFONIAFIJA,3G,4G
BUENOS AIRES,355,345,213,443,157,497,548,590,655
CABA,48,48,48,48,48,48,48,48,48
CATAMARCA,7,3,1,23,48,33,31,29,57
CHACO,28,14,1,45,43,46,47,44,75
CHUBUT,13,11,15,13,49,31,54,31,38
CORDOBA,181,89,5,172,73,292,310,277,344
CORRIENTES,21,9,1,12,55,45,51,39,70
ENTRE RIOS,47,39,4,44,22,130,128,78,128
FORMOSA,13,3,0,16,23,59,30,16,42
JUJUY,20,15,0,44,44,39,36,28,45
LA PAMPA,10,18,13,50,60,68,69,31,47
LA RIOJA,13,22,1,29,16,53,35,14,36
MENDOZA,30,18,28,77,19,106,74,118,128
MISIONES,29,25,0,39,26,49,59,40,86
NEUQUEN,17,10,17,19,36,42,41,20,34
RIO NEGRO,23,12,21,45,69,80,52,55,65
SALTA,32,19,1,86,67,70,54,43,88
SAN JUAN,9,1,11,12,18,73,40,41,49
SAN LUIS,10,7,9,20,18,88,41,28,41
SANTA CRUZ,5,5,7,9,22,11,17,15,16
SANTA FE,175,133,3,132,66,250,290,179,296
SANTIAGO DEL ESTERO,14,19,1,46,81,79,44,41,91
TIERRA DEL FUEGO,3,2,2,2,4,3,3,5,6
TUCUMAN,30,9,1,20,15,50,60,70,89
